Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,42,39,T:System.Uri,,,,,Uri
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,37,19,T:System.Uri,,,,,new Uri(uriString)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,37,19,M:System.Uri.#ctor(System.String),,,,,new Uri(uriString)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,47,52,T:System.Uri,,,,,config.Uri
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,47,38,T:System.Uri,,,,,BaseAddress
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,41,8,T:System.Uri,,,,,"public OllamaApiClient(Uri uri, string defaultModel = """")              : this(new Configuration { Uri = uri, Model = defaultModel })          {          }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,42,39,T:System.Uri,,,,,Uri
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,37,19,T:System.Uri,,,,,new Uri(uriString)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OllamaSharp\OllamaApiClient.cs,37,19,M:System.Uri.#ctor(System.String),,,,,new Uri(uriString)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\AddCommentCommand.cs,49,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\AddCommentCommand.cs,49,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OptimizeCodeCommand.cs,45,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\OptimizeCodeCommand.cs,45,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\UnitTestCommand.cs,49,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\UnitTestCommand.cs,49,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\SummarizeChangesCommand.cs,23,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OllamaPilot.csproj,File,D:\Websites\Projects\Ollama-Pilot\LLMCopilot\SummarizeChangesCommand.cs,23,12,M:System.ComponentModel.Design.MenuCommandService.AddCommand(System.ComponentModel.Design.MenuCommand),,,,,commandService.AddCommand(menuItem);
